DATE,SYMBOL,SERIES,PREV CLOSE,OPEN,HIGH,LOW,LAST,CLOSE,VWAP,VOLUME,TURNOVER,TRADES,DELIVERABLE VOLUME,%DELIVERBLE
2020-10-20,SBIN,EQ,204.0,201.0,204.35,200.7,202.95,203.05,202.74,39317197,797097496690000.0,175146,5620943,0.143
2020-10-21,SBIN,EQ,203.05,204.7,207.3,198.85,204.0,203.75,204.08,54516482,1112591690265000.0,248104,10918958,0.2003
2020-10-22,SBIN,EQ,203.75,201.9,204.6,201.1,203.6,203.3,203.1,33721761,684900878565000.0,156779,4734176,0.1404
2020-10-23,SBIN,EQ,203.3,204.0,205.6,201.55,202.45,202.8,203.2,32708098,664618598565000.0,143175,5408726,0.1654
2020-10-26,SBIN,EQ,202.8,202.7,204.0,195.6,197.0,196.7,199.33,45471498,906379008890000.0,213023,9472379,0.2083
2020-10-27,SBIN,EQ,196.7,197.25,197.55,192.25,194.45,194.65,194.96,37802664,737010744055000.0,177545,7079292,0.1873
2020-10-28,SBIN,EQ,194.65,195.0,195.0,189.05,190.5,190.45,191.54,46462213,889925877879999.9,259437,13448807,0.2895
2020-10-29,SBIN,EQ,190.45,189.35,190.7,185.9,189.3,188.7,188.17,44823105,843416179090000.0,238791,9344991,0.2085
2020-10-30,SBIN,EQ,188.7,189.35,192.0,186.15,189.9,189.25,189.11,41520135,785173616845000.0,186311,5649029,0.1361
2020-11-02,SBIN,EQ,189.25,192.2,197.25,190.05,196.0,196.05,194.16,52600119,1021260773440000.0,254510,13993534,0.266
2020-11-03,SBIN,EQ,196.05,198.0,205.8,197.6,204.35,204.75,202.38,69890201,1414456171695000.0,338507,20827276,0.298
2020-11-04,SBIN,EQ,204.75,203.5,209.0,198.05,205.5,207.0,204.28,117577856,2401883683715000.0,486009,22915206,0.1949
2020-11-05,SBIN,EQ,207.0,216.0,221.0,214.75,218.5,218.65,218.33,138023646,3013426456060000.0,568119,42166870,0.3055
2020-11-06,SBIN,EQ,218.65,219.0,221.85,217.05,218.1,219.2,219.15,73147085,1603012711630000.0,292489,17965797,0.2456
2020-11-09,SBIN,EQ,219.2,222.5,222.65,217.05,219.6,219.5,219.29,60359458,1323645672105000.0,250337,15432813,0.2557
2020-11-10,SBIN,EQ,219.5,223.1,235.0,223.0,232.0,231.7,229.3,135294550,3102281563925000.0,595627,43102126,0.3186
2020-11-11,SBIN,EQ,231.7,232.75,239.35,227.75,234.5,234.2,234.23,107094861,2508492076445000.0,449281,25884184,0.2417
2020-11-12,SBIN,EQ,234.2,233.2,233.35,225.65,227.05,226.8,229.08,58859905,1348390499015000.0,308734,13767236,0.2339
2020-11-13,SBIN,EQ,226.8,225.0,230.65,220.1,230.6,229.45,225.16,70676525,1591350764945000.0,301034,12034960,0.1703
2020-11-14,SBIN,EQ,229.45,232.0,232.9,227.75,228.05,229.65,230.98,7753219,179081541135000.0,73521,2345791,0.3026
2020-11-17,SBIN,EQ,229.65,231.85,241.6,231.0,241.35,240.2,237.24,80501583,1909810875280000.0,338168,33754763,0.4193
2020-11-18,SBIN,EQ,240.2,239.4,253.0,237.9,252.6,252.0,246.44,104514060,2575596216750000.0,481980,26494834,0.2535
2020-11-19,SBIN,EQ,252.0,248.0,251.8,239.0,239.5,239.75,245.83,82284278,2022760270285000.0,402167,14617497,0.1776
2020-11-20,SBIN,EQ,239.75,241.5,245.4,233.95,242.0,242.75,239.89,84411129,2024941255150000.0,371175,7680402,0.091
2020-11-23,SBIN,EQ,242.75,243.5,246.15,238.1,238.6,238.7,240.76,57538324,1385294812980000.0,258879,7663237,0.1332
2020-11-24,SBIN,EQ,238.7,240.5,245.0,239.5,244.4,243.85,241.91,47636611,1152389129865000.0,238186,10573973,0.222
2020-11-25,SBIN,EQ,243.85,245.45,249.9,241.6,243.0,243.0,246.09,74767232,1839932835955000.0,306740,10185429,0.1362
2020-11-26,SBIN,EQ,243.0,244.0,246.25,240.15,245.75,245.45,243.28,64248318,1563005475430000.0,241631,14919885,0.2322
2020-11-27,SBIN,EQ,245.45,245.45,246.25,242.05,244.2,244.25,243.85,54355703,1325488389145000.0,222385,15981860,0.294
2020-12-01,SBIN,EQ,244.25,245.0,248.95,244.25,247.65,248.05,246.58,37003272,912427740645000.0,186048,9607134,0.2596
2020-12-02,SBIN,EQ,248.05,248.35,250.85,244.1,246.55,246.95,247.75,56723083,1405293753380000.0,221604,13306764,0.2346
2020-12-03,SBIN,EQ,246.95,249.3,259.0,248.0,256.4,256.3,255.15,79266442,2022472303340000.0,361390,17214792,0.2172
2020-12-04,SBIN,EQ,256.3,257.0,264.35,253.55,264.05,263.5,259.18,79252024,2054087519950000.0,332166,16466782,0.2078
2020-12-07,SBIN,EQ,263.5,263.8,271.45,263.0,269.5,269.6,267.33,76053084,2033161653505000.0,298030,27751256,0.3649
2020-12-08,SBIN,EQ,269.6,270.95,273.7,265.25,270.75,271.9,269.92,65617502,1771155002325000.0,288470,17627985,0.2686
2020-12-09,SBIN,EQ,271.9,272.1,274.9,269.2,270.25,270.35,271.89,48495641,1318542446975000.0,224768,12794767,0.2638
2020-12-10,SBIN,EQ,270.35,269.0,271.0,265.55,270.0,269.55,267.91,38676657,1036201408665000.0,191259,7139680,0.1846
2020-12-11,SBIN,EQ,269.55,270.05,276.25,270.05,272.5,272.45,273.03,50255223,1372095252025000.0,219426,16618912,0.3307
2020-12-14,SBIN,EQ,272.45,274.0,276.15,272.35,274.25,274.2,274.69,31946501,877531744660000.0,200577,8886488,0.2782
2020-12-15,SBIN,EQ,274.2,274.05,274.05,268.15,270.55,270.65,270.4,34890948,943459924605000.0,207937,8591467,0.2462
2020-12-16,SBIN,EQ,270.65,272.8,273.65,268.5,269.35,269.4,270.58,24844177,672227626980000.0,150489,4406059,0.1773
2020-12-17,SBIN,EQ,269.4,270.0,272.15,266.7,267.35,267.7,269.19,25904699,697330984765000.0,146174,4320467,0.1668
2020-12-18,SBIN,EQ,267.7,267.7,271.95,265.0,271.35,271.45,268.3,29816205,799971768590000.0,159604,5872798,0.1969999999999999
2020-12-21,SBIN,EQ,271.45,268.45,269.0,251.05,254.1,254.7,260.31,55160758,1435888477805000.0,311254,14528986,0.2634
2020-12-22,SBIN,EQ,254.7,254.8,258.7,248.25,257.15,257.45,254.2,51189571,1301228212680000.0,288750,10781372,0.2106
2020-12-23,SBIN,EQ,257.45,256.95,263.9,255.6,263.0,263.0,261.14,29056404,758791456890000.0,171296,4792004,0.1649
2020-12-24,SBIN,EQ,263.0,265.0,268.85,264.65,266.85,266.85,267.02,28585509,763282126260000.0,167695,6820426,0.2386
2020-12-28,SBIN,EQ,266.85,268.75,276.0,268.0,275.75,275.2,272.23,36870242,1003736670840000.0,203967,9995425,0.2711
2020-12-29,SBIN,EQ,275.2,276.3,279.9,274.7,277.75,277.9,277.56,45032526,1249925123365000.0,237470,12390520,0.2751
2020-12-30,SBIN,EQ,277.9,278.0,278.7,272.5,275.5,276.9,275.47,30971894,853168148245000.0,163939,6530230,0.2108
2020-12-31,SBIN,EQ,276.9,275.0,277.25,272.6,274.4,274.95,275.29,29467966,811216054195000.0,183603,8782576,0.298
